id,dataset,file_type,variable,dataset_var,entry_start_date,entry_end_date,temporal_resolution,units,aggregation,grid,file_grouping,security_level,path,documentation_notes,site_type
495,snotel,netcdf,soil_moisture,sms_40in,,,daily,mm,sod,,site_id,1,/hydrodata/national_obs/soil_moisture/data/daily/{site_id}.nc,,
496,scan,netcdf,soil_moisture,sms_2in,,,daily,mm,sod,,site_id,1,/hydrodata/national_obs/soil_moisture/data/daily/{site_id}.nc,,
497,scan,netcdf,soil_moisture,sms_4in,,,daily,mm,sod,,site_id,1,/hydrodata/national_obs/soil_moisture/data/daily/{site_id}.nc,,
498,scan,netcdf,soil_moisture,sms_8in,,,daily,mm,sod,,site_id,1,/hydrodata/national_obs/soil_moisture/data/daily/{site_id}.nc,,
499,scan,netcdf,soil_moisture,sms_20in,,,daily,mm,sod,,site_id,1,/hydrodata/national_obs/soil_moisture/data/daily/{site_id}.nc,,
500,scan,netcdf,soil_moisture,sms_40in,,,daily,mm,sod,,site_id,1,/hydrodata/national_obs/soil_moisture/data/daily/{site_id}.nc,,
501,scan,netcdf,precipitation,precip_acc,,,daily,mm,accumulated,,site_id,1,/hydrodata/national_obs/point_meteorology/NRCS_precipitation/data/daily/{site_id}.nc,,
502,scan,netcdf,precipitation,precip_inc,,,daily,mm,sum,,site_id,1,/hydrodata/national_obs/point_meteorology/NRCS_precipitation/data/daily/{site_id}.nc,,
503,scan,netcdf,precipitation,precip_inc_sa,,,daily,mm,sum_snow_adjusted,,site_id,1,/hydrodata/national_obs/point_meteorology/NRCS_precipitation/data/daily/{site_id}.nc,,
504,scan,netcdf,air_temp,temp_min,,,daily,c,min,,site_id,1,/hydrodata/national_obs/point_meteorology/NRCS_temperature/data/daily/{site_id}.nc,,
505,scan,netcdf,air_temp,temp_max,,,daily,c,max,,site_id,1,/hydrodata/national_obs/point_meteorology/NRCS_temperature/data/daily/{site_id}.nc,,
506,scan,netcdf,air_temp,temp_avg,,,daily,c,mean,,site_id,1,/hydrodata/national_obs/point_meteorology/NRCS_temperature/data/daily/{site_id}.nc,,
507,ameriflux,netcdf,latent_heat,,,,hourly,w/m2,sum,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
508,ameriflux,netcdf,sensible_heat,,,,hourly,w/m2,sum,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
509,ameriflux,netcdf,downward_shortwave,,,,hourly,w/m2,mean,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
510,ameriflux,netcdf,downward_longwave,,,,hourly,w/m2,mean,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
511,ameriflux,netcdf,vapor_pressure_deficit,,,,hourly,hpa,mean,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
512,ameriflux,netcdf,air_temp,,,,hourly,c,mean,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
513,ameriflux,netcdf,wind_speed,,,,hourly,m/s,mean,,site_id,1,/hydrodata/national_obs/ameriflux/data/hourly/{site_id}.nc,,
514,conus1_baseline_85,pfb,clm_run,clm_run,,,static,-,-,conus1,,1,/hydrodata/PFCLM/CONUS1_baseline/inputs/drv_vegm.fixed.pfb,,
515,conus1_baseline_mod,pfb,clm_run,clm_run,,,static,-,-,conus1,,1,/hydrodata/PFCLM/CONUS1_baseline/inputs/drv_vegm.fixed.pfb,,
516,conus2_domain,pfb,clm_run,clm_run,,,static,-,-,conus2,,1,/hydrodata/PFCLM/CONUS2_baseline/inputs/model_inputs/drv_vegm.CONUS2_fixed.2.pfb,,
